y_span,del_y,cl,Chord
-0.8917,0.0167,0.273017,0.3008
-0.875,0.0167,0.39191,0.3025
-0.8583,0.0167,0.471646,0.3042
-0.8417,0.0166,0.531965,0.3058
-0.825,0.0167,0.580329,0.3075
-0.8083,0.0167,0.620481,0.3092
-0.7917,0.0166,0.654604,0.3108
-0.775,0.0167,0.684094,0.3125
-0.7583,0.0167,0.709911,0.3142
-0.7417,0.0166,0.732739,0.3158
-0.725,0.0167,0.753091,0.3175
-0.7083,0.0167,0.771358,0.3192
-0.6917,0.0166,0.787849,0.3208
-0.675,0.0167,0.802812,0.3225
-0.6583,0.0167,0.816448,0.3242
-0.6417,0.0166,0.828925,0.3258
-0.625,0.0167,0.840381,0.3275
-0.6083,0.0167,0.850935,0.3292
-0.5917,0.0166,0.860687,0.3308
-0.575,0.0167,0.869725,0.3325
-0.5583,0.0167,0.878125,0.3342
-0.5417,0.0166,0.885956,0.3358
-0.525,0.0167,0.893277,0.3375
-0.5083,0.0167,0.900144,0.3392
-0.4917,0.0166,0.906611,0.3408
-0.475,0.0167,0.912725,0.3425
-0.4583,0.0167,0.918542,0.3442
-0.4417,0.0166,0.924099,0.3458
-0.425,0.0167,0.929467,0.3475
-0.4083,0.0167,0.934762,0.3492
-0.3917,0.0166,0.932246,0.3521
-0.375,0.0167,0.930451,0.3562
-0.3583,0.0167,0.92904,0.3604
-0.3417,0.0166,0.927668,0.3646
-0.325,0.0167,0.926213,0.3688
-0.3083,0.0167,0.924592,0.3729
-0.2917,0.0166,0.922725,0.3771
-0.275,0.0167,0.920546,0.3812
-0.2583,0.0167,0.917993,0.3854
-0.2417,0.0166,0.914993,0.3896
-0.225,0.0167,0.911452,0.3938
-0.2083,0.0167,0.907219,0.3979
-0.1917,0.0166,0.909724,0.4
-0.175,0.0167,0.914514,0.4
-0.1583,0.0167,0.918533,0.4
-0.1417,0.0166,0.921952,0.4
-0.125,0.0167,0.924856,0.4
-0.1083,0.0167,0.927307,0.4
-0.0917,0.0166,0.929347,0.4
-0.075,0.0167,0.931015,0.4
-0.0583,0.0167,0.932327,0.4
-0.0417,0.0166,0.933298,0.4
-0.025,0.0167,0.933939,0.4
-0.0083,0.0167,0.934258,0.4
0.0083,0.0166,0.934258,0.4
0.025,0.0167,0.933939,0.4
0.0417,0.0167,0.933298,0.4
0.0583,0.0166,0.932327,0.4
0.075,0.0167,0.931015,0.4
0.0917,0.0167,0.929347,0.4
0.1083,0.0166,0.927307,0.4
0.125,0.0167,0.924856,0.4
0.1417,0.0167,0.921952,0.4
0.1583,0.0166,0.918533,0.4
0.175,0.0167,0.914514,0.4
0.1917,0.0167,0.909724,0.4
0.2083,0.0166,0.907219,0.3979
0.225,0.0167,0.911452,0.3938
0.2417,0.0167,0.914993,0.3896
0.2583,0.0166,0.917993,0.3854
0.275,0.0167,0.920546,0.3812
0.2917,0.0167,0.922725,0.3771
0.3083,0.0166,0.924592,0.3729
0.325,0.0167,0.926213,0.3688
0.3417,0.0167,0.927668,0.3646
0.3583,0.0166,0.92904,0.3604
0.375,0.0167,0.930451,0.3562
0.3917,0.0167,0.932246,0.3521
0.4083,0.0166,0.934762,0.3492
0.425,0.0167,0.929467,0.3475
0.4417,0.0167,0.924099,0.3458
0.4583,0.0166,0.918542,0.3442
0.475,0.0167,0.912725,0.3425
0.4917,0.0167,0.906611,0.3408
0.5083,0.0166,0.900144,0.3392
0.525,0.0167,0.893277,0.3375
0.5417,0.0167,0.885956,0.3358
0.5583,0.0166,0.878125,0.3342
0.575,0.0167,0.869725,0.3325
0.5917,0.0167,0.860687,0.3308
0.6083,0.0166,0.850935,0.3292
0.625,0.0167,0.840381,0.3275
0.6417,0.0167,0.828925,0.3258
0.6583,0.0166,0.816448,0.3242
0.675,0.0167,0.802812,0.3225
0.6917,0.0167,0.787849,0.3208
0.7083,0.0166,0.771358,0.3192
0.725,0.0167,0.753091,0.3175
0.7417,0.0167,0.732739,0.3158
0.7583,0.0166,0.709911,0.3142
0.775,0.0167,0.684094,0.3125
0.7917,0.0167,0.654604,0.3108
0.8083,0.0166,0.620481,0.3092
0.825,0.0167,0.580329,0.3075
0.8417,0.0167,0.531965,0.3058
0.8583,0.0166,0.471646,0.3042
0.875,0.0167,0.39191,0.3025
0.8917,0.0167,0.273017,0.3008
