xflr5 v6.57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.plane,,,,,,,,,,,,,,,
T1-17.0 m/s-Panel,,,,,,,,,,,,,,,
QInf  =,17,m/s,,,,,,,,,,,,,
Alpha = ,3,,,,,,,,,,,,,,
Beta  = ,   0.000°,,,,,,,,,,,,,,
Phi   = ,   0.000°,,,,,,,,,,,,,,
Ctrl  = ,0,,,,,,,,,,,,,,
CL    = ,0.887273,,,,,,,,,,,,,,
Cy    = ,0,,,,,,,,,,,,,,
Cd=,0.06138,ICd=,0.048965,PCd=,0.012415,,,,,,,,,,
Cl   = ,2.30481e-15,,,,,,,,,,,,,,
Cm   =,-0.47213,,,,,,,,,,,,,,
ICn=,0,PCn=,0,,,,,,,,,,,,
XCP=,0.187415, YCP=,0, ZCP=,0.037858,,,,,,,,,,
XNP=,0,,,,,,,,,,,,,,
Bending =,18.74568,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Main Wing,,,,,,,,,,,,,,,
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM,,y span,cl,Chord
-0.8986,0.3001,-8.912,0.150191,0.028905,0.02355,-0.237281,-0.100692,0.2396,0.0139,0.5629,0,-,-0.8986,0.150191,0.3001
-0.8932,0.3007,-7.518,0.254574,0.017334,0.033596,-0.256049,-0.111892,0.2241,0.0067,0.5753,0.0001,-,-0.8932,0.254574,0.3007
-0.8823,0.3018,-6.558,0.357993,0.015797,0.041153,-0.263952,-0.111542,0.2362,0.0076,0.5525,0.0016,-,-0.8823,0.357993,0.3018
-0.8662,0.3034,-5.764,0.452085,0.015163,0.045634,-0.302448,-0.124502,0.2581,0.0116,0.5355,0.0082,-,-0.8662,0.452085,0.3034
-0.8449,0.3055,-5.114,0.535683,0.014585,0.04794,-0.345356,-0.139022,0.2879,0.0237,0.5218,0.027,-,-0.8449,0.535683,0.3055
-0.8188,0.3081,-4.577,0.608829,0.013813,0.048735,-0.38455,-0.151918,0.3205,0.1069,0.5101,0.0688,-,-0.8188,0.608829,0.3081
-0.788,0.3112,-4.13,0.672066,0.013308,0.048531,-0.417585,-0.16245,0.3659,0.166,0.4999,0.1482,-,-0.788,0.672066,0.3112
-0.7531,0.3147,-3.76,0.726197,0.012921,0.04772,-0.444088,-0.170703,0.4123,0.2312,0.4911,0.2829,-,-0.7531,0.726197,0.3147
