y span,cl,Chord
-0.8986,0.150191,0.3001
-0.8932,0.254574,0.3007
-0.8823,0.357993,0.3018
-0.8662,0.452085,0.3034
-0.8449,0.535683,0.3055
-0.8188,0.608829,0.3081
-0.788,0.672066,0.3112
-0.7531,0.726197,0.3147
-0.7142,0.772142,0.3186
-0.6719,0.810857,0.3228
-0.6267,0.84331,0.3273
-0.5789,0.870358,0.3321
-0.5292,0.892769,0.3371
-0.4781,0.911204,0.3422
-0.4261,0.925719,0.3474
-0.3988,0.924822,0.3503
-0.3939,0.924889,0.3515
-0.3842,0.926746,0.3539
-0.37,0.92762,0.3575
-0.3516,0.927272,0.3621
-0.3295,0.925946,0.3676
-0.3042,0.92362,0.374
-0.2763,0.920068,0.3809
-0.2465,0.9149,0.3884
-0.2156,0.907401,0.3961
-0.1988,0.903123,0.4
-0.1939,0.906622,0.4
-0.1842,0.910646,0.4
-0.17,0.915021,0.4
-0.1516,0.9195,0.4
-0.1295,0.923786,0.4
-0.1042,0.927581,0.4
-0.0763,0.930639,0.4
-0.0465,0.932783,0.4
-0.0156,0.933885,0.4
0.0156,0.933885,0.4
0.0465,0.932783,0.4
0.0763,0.930639,0.4
0.1042,0.927581,0.4
0.1295,0.923786,0.4
0.1516,0.9195,0.4
0.17,0.915021,0.4
0.1842,0.910646,0.4
0.1939,0.906622,0.4
0.1988,0.903123,0.4
0.2156,0.907401,0.3961
0.2465,0.9149,0.3884
0.2763,0.920068,0.3809
0.3042,0.92362,0.374
0.3295,0.925946,0.3676
0.3516,0.927272,0.3621
0.37,0.92762,0.3575
0.3842,0.926746,0.3539
0.3939,0.924889,0.3515
0.3988,0.924822,0.3503
0.4261,0.925719,0.3474
0.4781,0.911204,0.3422
0.5292,0.892769,0.3371
0.5789,0.870358,0.3321
0.6267,0.84331,0.3273
0.6719,0.810857,0.3228
0.7142,0.772142,0.3186
0.7531,0.726197,0.3147
0.788,0.672066,0.3112
0.8188,0.608829,0.3081
0.8449,0.535683,0.3055
0.8662,0.452085,0.3034
0.8823,0.357993,0.3018
0.8932,0.254574,0.3007
0.8986,0.150191,0.3001
