x(m),lift (N)
0,-0.2718991
0.0208333,-0.3890605
0.0416666,-0.468084
0.0625,-0.528543
0.0833333,-0.5777394
0.1041666,-0.6192743
0.125,-0.6552024
0.1458333,-0.6868292
0.1666666,-0.7150243
0.1875,-0.7403878
0.2083333,-0.7633717
0.2291666,-0.7843049
0.25,-0.8034236
0.2708333,-0.8209289
0.2916666,-0.8369664
0.3125,-0.8516351
0.3333333,-0.8650301
0.3541666,-0.8772129
0.375,-0.8882082
0.3958333,-0.8980471
0.41666663,-0.9067154
0.43749997,-0.9141683
0.4583333,-0.9202877
0.47916663,-0.9247036
0.49999997,-0.9358442
0.5208333,-0.9315108
0.54166663,-0.9254549
0.56249997,-0.918049
0.5833333,-0.9094135
0.6041666,-0.8995999
0.625,-0.8886011
0.6458333,-0.8764121
0.6666666,-0.8629944
0.6875,-0.8482727
0.7083333,-0.8321745
0.7291666,-0.8145862
0.75,-0.7953476
0.7708333,-0.774277
0.7916666,-0.7511217
0.8125,-0.7255359
0.8333333,-0.6970804
0.8541666,-0.6651329
0.875,-0.6287986
0.8958333,-0.5867666
0.9166666,-0.5369352
0.9375,-0.4756315
0.9583333,-0.3954386
0.9791666,-0.2764308
